id,fingerprint,brand_name,product_name,quantity,category
15101,"fortune|fortune sunlite refined sunflower oil 800 g|800g",fortune,fortune sunlite refined sunflower oil 800 g,800g,
15102,"ms with madhusudan|ms madhusudan bandhani hing powder|50g",ms with madhusudan,ms madhusudan bandhani hing powder,50g,
15103,"mahadevi ram dev and co|mahadevi ram dev co hing powder|50g",mahadevi ram dev and co,mahadevi ram dev co hing powder,50g,
15104,"catch|catch turmeric powder haldi|100g",catch,catch turmeric powder haldi,100g,
15105,"fortune|fortune rice bran oil|870g",fortune,fortune rice bran oil,870g,
15106,"tata sampann|garam masala natural oils|100g",tata sampann,garam masala natural oils,100g,"Foodgrains, Oil & Masala"
15107,"tata sampann|garam masala natural oils|45g",tata sampann,garam masala natural oils,45g,"Foodgrains, Oil & Masala"
15108,"everest|garam masala|100g",everest,garam masala,100g,"Foodgrains, Oil & Masala"
15109,"everest|garam masala|50g",everest,garam masala,50g,"Foodgrains, Oil & Masala"
15110,"everest|masala garam|200g",everest,masala garam,200g,"Foodgrains, Oil & Masala"
15111,"mtr|special garam masala|100g",mtr,special garam masala,100g,"Foodgrains, Oil & Masala"
15112,"mtr|special garam masala|50g",mtr,special garam masala,50g,"Foodgrains, Oil & Masala"
15113,"catch|super garam masala|100g",catch,super garam masala,100g,"Foodgrains, Oil & Masala"
15114,"aachi|garam masala|50g",aachi,garam masala,50g,"Foodgrains, Oil & Masala"
15115,"mdh|masala garam|50g",mdh,masala garam,50g,"Foodgrains, Oil & Masala"
15116,"bb royal|garam masala|100g",bb royal,garam masala,100g,"Foodgrains, Oil & Masala"
15117,"bb royal|garam masala|50g",bb royal,garam masala,50g,"Foodgrains, Oil & Masala"
15118,"zoff|garam masala|100g",zoff,garam masala,100g,"Foodgrains, Oil & Masala"
15119,"zoff|garam masala|50g",zoff,garam masala,50g,"Foodgrains, Oil & Masala"
15120,"eastern|garam masala|100g",eastern,garam masala,100g,"Foodgrains, Oil & Masala"
15121,"catch|garam masala adds flavour aroma|50g",catch,garam masala adds flavour aroma,50g,"Foodgrains, Oil & Masala"
15122,"catch|garam masala|100g",catch,garam masala,100g,"Foodgrains, Oil & Masala"
15123,"mai rasoi|garam masala sabut 50 gm|50g",mai rasoi,garam masala sabut 50 gm,50g,"Foodgrains, Oil & Masala"
15124,"jk|powder shahi garam masala|50g",jk,powder shahi garam masala,50g,"Foodgrains, Oil & Masala"
15125,"bb royal|garam masala whole|200g",bb royal,garam masala whole,200g,"Foodgrains, Oil & Masala"
15126,"bb royal|garam masala whole|50g",bb royal,garam masala whole,50g,"Foodgrains, Oil & Masala"
15127,"bb royal|garam masala whole|100g",bb royal,garam masala whole,100g,"Foodgrains, Oil & Masala"
15128,"mtr|hing powder|50g",mtr,hing powder,50g,"Foodgrains, Oil & Masala"
15129,"mtr|powder hing|25g",mtr,powder hing,25g,"Foodgrains, Oil & Masala"
15130,"lg|powder asafoetida|500g",lg,powder asafoetida,500g,"Foodgrains, Oil & Masala"
15131,"lg|asafoetida powder|50g",lg,asafoetida powder,50g,"Foodgrains, Oil & Masala"
15132,"lg|asafoetida powder|100g",lg,asafoetida powder,100g,"Foodgrains, Oil & Masala"
15133,"emami healthy & tasty|mantra shahi garam masala|25g",emami healthy & tasty,mantra shahi garam masala,25g,"Foodgrains, Oil & Masala"
15134,"natureland organics|garam masala powder|100g",natureland organics,garam masala powder,100g,"Foodgrains, Oil & Masala"
15135,"tablespoon|masala shahi garam no chilli|100g",tablespoon,masala shahi garam no chilli,100g,"Foodgrains, Oil & Masala"
15136,"teju|super garam masala powder|200g",teju,super garam masala powder,200g,"Foodgrains, Oil & Masala"
15137,"grihasthi|gota garam masala premium natural pure no preservatives|100g",grihasthi,gota garam masala premium natural pure no preservatives,100g,"Foodgrains, Oil & Masala"
15138,"grihasthi|gota garam masala premium natural pure no preservatives|50g",grihasthi,gota garam masala premium natural pure no preservatives,50g,"Foodgrains, Oil & Masala"
15139,"mummaa's|garam masala|100g",mummaa's,garam masala,100g,"Foodgrains, Oil & Masala"
15140,"sitavatika|garam masala|200g",sitavatika,garam masala,200g,"Foodgrains, Oil & Masala"
15141,"sitavatika|garam masala|100g",sitavatika,garam masala,100g,"Foodgrains, Oil & Masala"
15142,"badshah|super hing compounded asafoetida powder|100g",badshah,super hing compounded asafoetida powder,100g,"Foodgrains, Oil & Masala"
15143,"badshah|super hing compounded asafoetida powder|50g",badshah,super hing compounded asafoetida powder,50g,"Foodgrains, Oil & Masala"
15144,"desilal|garam masala enhances flavour|50g",desilal,garam masala enhances flavour,50g,"Foodgrains, Oil & Masala"
15145,"wonder|rajwadi garam masala|100g",wonder,rajwadi garam masala,100g,"Foodgrains, Oil & Masala"
15146,"wonder|rajwadi garam masala|50g",wonder,rajwadi garam masala,50g,"Foodgrains, Oil & Masala"
15147,"srivari|garam masala|100g",srivari,garam masala,100g,"Foodgrains, Oil & Masala"
15148,"rasoi ratnam masala|kashmiri red chilli powder|250g",rasoi ratnam masala,kashmiri red chilli powder,250g,"Foodgrains, Oil & Masala"
15149,"praakritik|natural garam masala hand pounded|100g",praakritik,natural garam masala hand pounded,100g,"Foodgrains, Oil & Masala"
15150,"salz & aroma|garam masala|250g",salz & aroma,garam masala,250g,"Foodgrains, Oil & Masala"
15151,"salz & aroma|garam masala|100g",salz & aroma,garam masala,100g,"Foodgrains, Oil & Masala"
15152,"melam|masala garam|100g",melam,masala garam,100g,"Foodgrains, Oil & Masala"
15153,"zoff|chicken masala garam masala meat masala|300g",zoff,chicken masala garam masala meat masala,300g,"Foodgrains, Oil & Masala"
15154,"suruchi|masala garam premium a 1|50g",suruchi,masala garam premium a 1,50g,"Foodgrains, Oil & Masala"
15155,"ramdev|powder garam masala|100g",ramdev,powder garam masala,100g,"Foodgrains, Oil & Masala"
15156,"ramdev|powder garam masala|50g",ramdev,powder garam masala,50g,"Foodgrains, Oil & Masala"
15157,"ramdev|garam masala powder|200g",ramdev,garam masala powder,200g,"Foodgrains, Oil & Masala"
15158,"shellys|classic bengali garam masala|25g",shellys,classic bengali garam masala,25g,"Foodgrains, Oil & Masala"
15159,"kitchen treasures|garam masala|50g",kitchen treasures,garam masala,50g,"Foodgrains, Oil & Masala"
15160,"zoff|masala garam chhole kitchen king|100g",zoff,masala garam chhole kitchen king,100g,"Foodgrains, Oil & Masala"
15161,"parrot|gota garam masala savoury spicy taste|50g",parrot,gota garam masala savoury spicy taste,50g,"Foodgrains, Oil & Masala"
15162,"surya|mix garam masala|50g",surya,mix garam masala,50g,"Foodgrains, Oil & Masala"
15163,"rasoi tatva|garam masala|25g",rasoi tatva,garam masala,25g,"Foodgrains, Oil & Masala"
15164,"tata sampann|tata sampann coriander powder natural oils|500g",tata sampann,tata sampann coriander powder natural oils,500g,
15165,"tata sampann|tata sampann coriander powder natural oils|100g",tata sampann,tata sampann coriander powder natural oils,100g,
15166,"zoff|zoff natural coriander powder|200g",zoff,zoff natural coriander powder,200g,
15167,"mdh|mdh deggi red chilli powder|100g",mdh,mdh deggi red chilli powder,100g,
15168,"mdh|mdh kashmiri red chilli powder|100g",mdh,mdh kashmiri red chilli powder,100g,
15169,"catch|catch kutti mirch red chilli powder|100g",catch,catch kutti mirch red chilli powder,100g,
15170,"catch|catch kashmiri red chilli powder|100g",catch,catch kashmiri red chilli powder,100g,
15171,"catch|catch red chilli powder|100g",catch,catch red chilli powder,100g,
15172,"everest|everest kashmiri red chilli powder|100g",everest,everest kashmiri red chilli powder,100g,
15173,"everest|everest tikhalal red chilli powder|100g",everest,everest tikhalal red chilli powder,100g,
15174,"catch|catch kuti red chilli powder|200g",catch,catch kuti red chilli powder,200g,
15175,"tata sampann|tata sampann kashmiri red chilli powder natural oils|100g",tata sampann,tata sampann kashmiri red chilli powder natural oils,100g,
15176,"mdh|mdh red chilli powder|100g",mdh,mdh red chilli powder,100g,
15177,"eastern|eastern red chilli powder|250g",eastern,eastern red chilli powder,250g,
15178,"orika|orika kashmiri red chilli powder|100g",orika,orika kashmiri red chilli powder,100g,
15179,"emami healthy & tasty|emami healthy tasty mantra mirch chilli powder|200g",emami healthy & tasty,emami healthy tasty mantra mirch chilli powder,200g,
15180,"tata sampann|tata sampann chilli powder natural oils|500g",tata sampann,tata sampann chilli powder natural oils,500g,
15181,"organic tattva|organic tattva red organic chilli powder|100g",organic tattva,organic tattva red organic chilli powder,100g,
15182,"everest|everest kutilal red chilli powder|100g",everest,everest kutilal red chilli powder,100g,
15183,"24 mantra organic|24 mantra organic red chilli powder|200g",24 mantra organic,24 mantra organic red chilli powder,200g,
15184,"agro mantra|agro mantra chilli powder lal mirch powder|500g",agro mantra,agro mantra chilli powder lal mirch powder,500g,
15185,"jk|jk kashmiri mirch chilli powder|100g",jk,jk kashmiri mirch chilli powder,100g,
15186,"hamdard khaalis|hamdard khaalis red chilli powder|200g",hamdard khaalis,hamdard khaalis red chilli powder,200g,
15187,"catch|catch dry mango amchur powder|100g",catch,catch dry mango amchur powder,100g,
15188,"catch|catch compounded hing powder|25g",catch,catch compounded hing powder,25g,
15189,"everest|everest compounded hing powder hingraj|50g",everest,everest compounded hing powder hingraj,50g,
15190,"mdh|mdh amchur powder|100g",mdh,mdh amchur powder,100g,
15191,"catch|catch hing powder|100g",catch,catch hing powder,100g,
15192,"mdh|mdh super compounded hing powder|10g",mdh,mdh super compounded hing powder,10g,
15193,"goldiee|goldiee dry mango amchur powder|200g",goldiee,goldiee dry mango amchur powder,200g,
15194,"l.g|l g hing powder|50g",l.g,l g hing powder,50g,
15195,"whole farm|whole farm premium hing powder compounded|50g",whole farm,whole farm premium hing powder compounded,50g,
15196,"tata sampann|tata sampann hing powder compounded asafoetida bandhani hing|50g",tata sampann,tata sampann hing powder compounded asafoetida bandhani hing,50g,
15197,"emami healthy & tasty|emami healthy tasty mantra hing powder|50g",emami healthy & tasty,emami healthy tasty mantra hing powder,50g,
15198,"conscious food|conscious food organic hing powder|10g",conscious food,conscious food organic hing powder,10g,
15199,"keya|keya garlic powder|55g",keya,keya garlic powder,55g,
15200,"everest|everest amchur powder|100g",everest,everest amchur powder,100g,
15201,"everest|everest hingraj hing powder|100g",everest,everest hingraj hing powder,100g,
15202,"orika|orika amchur powder|100g",orika,orika amchur powder,100g,
15203,"whole farm|whole farm premium hing powder compounded|100g",whole farm,whole farm premium hing powder compounded,100g,
15204,"orika|orika garlic powder|50g",orika,orika garlic powder,50g,
15205,"l.g|l g compounded hing powder|100g",l.g,l g compounded hing powder,100g,
15206,"eastern|eastern hing powder|50g",eastern,eastern hing powder,50g,
15207,"zoff|zoff amchur powder|100g",zoff,zoff amchur powder,100g,
15208,"jk|jk amchur powder|100g",jk,jk amchur powder,100g,
15209,"organic chakki|organic chakki premium compounded hing powder|25g",organic chakki,organic chakki premium compounded hing powder,25g,
15210,"keya|keya ginger garlic powder|50g",keya,keya ginger garlic powder,50g,
15211,"organic chakki|organic chakki compounded hing powder|50g",organic chakki,organic chakki compounded hing powder,50g,
15212,"goldiee|goldiee heera hing powder|50g",goldiee,goldiee heera hing powder,50g,
15213,"organic chakki|organic chakki nukhra hing whole|5g",organic chakki,organic chakki nukhra hing whole,5g,
15214,"kokora spices|kokora spices dry amchur powder|100g",kokora spices,kokora spices dry amchur powder,100g,
15215,"shasha|shasha amchur powder|100g",shasha,shasha amchur powder,100g,
15216,"dbm himalaya|dbm himalaya hing powder|100g",dbm himalaya,dbm himalaya hing powder,100g,
15217,"ramjeevan|ramjeevan super strong hing powder|50g",ramjeevan,ramjeevan super strong hing powder,50g,
15218,"organic chakki|organic chakki compound hing crystals|25g",organic chakki,organic chakki compound hing crystals,25g,
15219,"bb royal|coriander dhania powder|100g",bb royal,coriander dhania powder,100g,"Foodgrains, Oil & Masala"
15220,"zoff|coriander powder|200g",zoff,coriander powder,200g,"Foodgrains, Oil & Masala"
15221,"zoff|coriander powder low ground flavourful|100g",zoff,coriander powder low ground flavourful,100g,"Foodgrains, Oil & Masala"
15222,"zoff|coriander powder|500g",zoff,coriander powder,500g,"Foodgrains, Oil & Masala"
15223,"organic tattva|organic powder coriander|100g",organic tattva,organic powder coriander,100g,"Foodgrains, Oil & Masala"
15224,"organic tattva|organic coriander powder fresh vegan gluten free no additives|200g",organic tattva,organic coriander powder fresh vegan gluten free no additives,200g,"Foodgrains, Oil & Masala"
15225,"aachi|kulambu chilly mixed masala|200g",aachi,kulambu chilly mixed masala,200g,"Foodgrains, Oil & Masala"
15226,"aachi|powder kulamabu chilli|500g",aachi,powder kulamabu chilli,500g,"Foodgrains, Oil & Masala"
15227,"aachi|powder pure chilli|500g",aachi,powder pure chilli,500g,"Foodgrains, Oil & Masala"
15228,"aachi|powder chilli|100g",aachi,powder chilli,100g,"Foodgrains, Oil & Masala"
15229,"aachi|powder chilly|200g",aachi,powder chilly,200g,"Foodgrains, Oil & Masala"
15230,"sitavatika|coriander powder|200g",sitavatika,coriander powder,200g,"Foodgrains, Oil & Masala"
15231,"sitavatika|coriander powder|100g",sitavatika,coriander powder,100g,"Foodgrains, Oil & Masala"
15232,"zoff|ctc red chilli coriander turmeric powder|1500g",zoff,ctc red chilli coriander turmeric powder,1500g,"Foodgrains, Oil & Masala"
15233,"zoff|red chilli turmeric coriander powder|300g",zoff,red chilli turmeric coriander powder,300g,"Foodgrains, Oil & Masala"
15234,"zoff|ctc red chilli coriander turmeric powder|600g",zoff,ctc red chilli coriander turmeric powder,600g,"Foodgrains, Oil & Masala"
15235,"gaay chhap|extra hot chilli powder|1000g",gaay chhap,extra hot chilli powder,1000g,"Foodgrains, Oil & Masala"
15236,"gaay chhap|extra hot chilli powder|500g",gaay chhap,extra hot chilli powder,500g,"Foodgrains, Oil & Masala"
15237,"waghmare masale|coriander powder|50g",waghmare masale,coriander powder,50g,"Foodgrains, Oil & Masala"
15238,"brahmins|kashmiri chilly|250g",brahmins,kashmiri chilly,250g,"Foodgrains, Oil & Masala"
15239,"brahmins|kashmiri chilly powder|100g",brahmins,kashmiri chilly powder,100g,"Foodgrains, Oil & Masala"
15240,"suruchi|powder haldi premium vaigaon|200g",suruchi,powder haldi premium vaigaon,200g,"Foodgrains, Oil & Masala"
15241,"suruchi|powder haldi premium vaigaon|100g",suruchi,powder haldi premium vaigaon,100g,"Foodgrains, Oil & Masala"
15242,"rasoi tatva|coriander cumin powder premium quality|100g",rasoi tatva,coriander cumin powder premium quality,100g,"Foodgrains, Oil & Masala"
15243,"the flavour trail by swani|organic coriander powder|200g",the flavour trail by swani,organic coriander powder,200g,"Foodgrains, Oil & Masala"
15244,"sri sri tattva|coriander powder|100g",sri sri tattva,coriander powder,100g,"Foodgrains, Oil & Masala"
15245,"nirapara|powder coriander|100g",nirapara,powder coriander,100g,"Foodgrains, Oil & Masala"
15246,"brahmins|coriander powder|250g",brahmins,coriander powder,250g,"Foodgrains, Oil & Masala"
15247,"brahmins|coriander powder|100g",brahmins,coriander powder,100g,"Foodgrains, Oil & Masala"
15248,"brahmins|coriander powder|500g",brahmins,coriander powder,500g,"Foodgrains, Oil & Masala"
15249,"melam|powder chilli|500g",melam,powder chilli,500g,"Foodgrains, Oil & Masala"
15250,"melam|powder chilli|100g",melam,powder chilli,100g,"Foodgrains, Oil & Masala"
15251,"melam|powder chilli|250g",melam,powder chilli,250g,"Foodgrains, Oil & Masala"
15252,"dmart premia|dmart premia red chilli powder|100g",dmart premia,dmart premia red chilli powder,100g,
15253,"everest|everest tikhalal chilli powder|100g",everest,everest tikhalal chilli powder,100g,
15254,"dmart premia|dmart premia kashmiri chilli powder|200g",dmart premia,dmart premia kashmiri chilli powder,200g,
15255,"ramdev|ramdev chilli powder|200g",ramdev,ramdev chilli powder,200g,
15256,"everest|everest kutilal chilli powder|100g",everest,everest kutilal chilli powder,100g,
15257,"goldiee|goldiee red chilli powder|500g",goldiee,goldiee red chilli powder,500g,
15258,"tata sampann|tata sampann chilli powder|200g",tata sampann,tata sampann chilli powder,200g,
15259,"khetika|khetika red chilli powder|100g",khetika,khetika red chilli powder,100g,
15260,"snapin|snapin chilli flakes spice|35g",snapin,snapin chilli flakes spice,35g,
15261,"mtr|mtr idli dosa chilly chutney powder|200g",mtr,mtr idli dosa chilly chutney powder,200g,
15262,"snapin|snapin street chilli manchurian masala|100g",snapin,snapin street chilli manchurian masala,100g,
15263,"vaidehi|vaidehi lasun chutney|100g",vaidehi,vaidehi lasun chutney,100g,
15264,"bedekar|bedekar garlic chutney|100g",bedekar,bedekar garlic chutney,100g,
15265,"nasle|nasle shenga groundnut chutney|200g",nasle,nasle shenga groundnut chutney,200g,
15266,"bedekar|bedekar groundnut singdana chutney|100g",bedekar,bedekar groundnut singdana chutney,100g,
15267,"inchi|inchi schezwan chutney|250g",inchi,inchi schezwan chutney,250g,
15268,"ching's|ching s schezwan chutney|145g",ching's,ching s schezwan chutney,145g,
15269,"ching's|ching s schezwan chutney|250g",ching's,ching s schezwan chutney,250g,
15270,"mother's recipe|mothers recipe desi schezwan chutney|250g",mother's recipe,mothers recipe desi schezwan chutney,250g,
15271,"dmart premia|dmart premia red chilli flakes|50g",dmart premia,dmart premia red chilli flakes,50g,
15272,"masterchow|masterchow asli chinese chilli garlic cooking sauce|220g",masterchow,masterchow asli chinese chilli garlic cooking sauce,220g,
15273,"tata sampann|tata sampann turmeric powder|200g",tata sampann,tata sampann turmeric powder,200g,
15274,"tata sampann|tata sampann coriander powder|200g",tata sampann,tata sampann coriander powder,200g,
15275,"dmart premia|dmart premia haldi powder|100g",dmart premia,dmart premia haldi powder,100g,
15276,"dmart premia|dmart premia dhania powder|100g",dmart premia,dmart premia dhania powder,100g,
15277,"dmart premia|dmart premia dhania powder|200g",dmart premia,dmart premia dhania powder,200g,
15278,"dmart premia|dmart premia haldi powder|500g",dmart premia,dmart premia haldi powder,500g,
15279,"catch|catch red chilli powder|200g",catch,catch red chilli powder,200g,
15280,"catch|catch chicken masala|100g",catch,catch chicken masala,100g,
15281,"mdh|mdh chana masala|100g",mdh,mdh chana masala,100g,
15282,"whole farm|whole farm premium star anise|20g",whole farm,whole farm premium star anise,20g,
15283,"everest|everest shahi biryani masala|50g",everest,everest shahi biryani masala,50g,
15284,"catch|catch rajma masala|100g",catch,catch rajma masala,100g,
15285,"everest|everest chicken masala|100g",everest,everest chicken masala,100g,
15286,"everest|everest chole masala|100g",everest,everest chole masala,100g,
15287,"everest|everest rajma masala|50g",everest,everest rajma masala,50g,
15288,"everest|everest tandoori chicken masala|100g",everest,everest tandoori chicken masala,100g,
15289,"eastern|eastern chicken masala|100g",eastern,eastern chicken masala,100g,
15290,"tata sampann|tata sampann chicken masala natural oils|100g",tata sampann,tata sampann chicken masala natural oils,100g,
15291,"catch|catch dal makhani masala|100g",catch,catch dal makhani masala,100g,
15292,"kilrr|kilrr tandoori blast chicken masala|20g",kilrr,kilrr tandoori blast chicken masala,20g,
15293,"catch|catch chole masala|100g",catch,catch chole masala,100g,
15294,"mdh|mdh veg biryani masala|50g",mdh,mdh veg biryani masala,50g,
15295,"yours freshly|yours freshly rasam powder|100g",yours freshly,yours freshly rasam powder,100g,
15296,"kilrr|kilrr gangs awadh tandoori chicken masala|19g",kilrr,kilrr gangs awadh tandoori chicken masala,19g,
15297,"catch|catch biryani masala|50g",catch,catch biryani masala,50g,
15298,"catch|catch chana masala|100g",catch,catch chana masala,100g,
15299,"smith & jones|smith jones pasta masala 14|7g",smith & jones,smith jones pasta masala 14,7g,
15300,"suhana|suhana paneer butter masala mix|50g",suhana,suhana paneer butter masala mix,50g,
15301,"tata sampann|tata sampann paneer masala powder natural oils|100g",tata sampann,tata sampann paneer masala powder natural oils,100g,
15302,"catch|catch shahi paneer masala|100g",catch,catch shahi paneer masala,100g,
15303,"gm foods|gm foods soya chaap masala|100g",gm foods,gm foods soya chaap masala,100g,
15304,"kilrr|kilrr afghan ka shaitaan tandoori chicken masala 2|23g",kilrr,kilrr afghan ka shaitaan tandoori chicken masala 2,23g,
15305,"suhana|suhana biryani masala|50g",suhana,suhana biryani masala,50g,
15306,"emami healthy & tasty|emami healthy tasty mantra punjabi chole masala|100g",emami healthy & tasty,emami healthy tasty mantra punjabi chole masala,100g,
15307,"everest|everest kesari milk masala premix|50g",everest,everest kesari milk masala premix,50g,
15308,"india gate|india gate classic hyderabadi biryani masala 70 g|70g",india gate,india gate classic hyderabadi biryani masala 70 g,70g,
15309,"kilrr|kilrr achaari atyachaari tandoori chicken masala|27g",kilrr,kilrr achaari atyachaari tandoori chicken masala,27g,
15310,"tata sampann|chilli lal mirchi powder natural oils|500g",tata sampann,chilli lal mirchi powder natural oils,500g,"Foodgrains, Oil & Masala"
15311,"tata sampann|chilli lal mirchi powder natural oils|100g",tata sampann,chilli lal mirchi powder natural oils,100g,"Foodgrains, Oil & Masala"
15312,"tata sampann|chilli lal mirchi powder natural oils|200g",tata sampann,chilli lal mirchi powder natural oils,200g,"Foodgrains, Oil & Masala"
15313,"eastern|chilli powder perfect colour smell taste|500g",eastern,chilli powder perfect colour smell taste,500g,"Foodgrains, Oil & Masala"
15314,"eastern|chilli powder perfect colour smell taste|100g",eastern,chilli powder perfect colour smell taste,100g,"Foodgrains, Oil & Masala"
15315,"eastern|chilli powder perfect colour smell taste|250g",eastern,chilli powder perfect colour smell taste,250g,"Foodgrains, Oil & Masala"
15316,"everest|tikhalal chilli powder menasina pudi|500g",everest,tikhalal chilli powder menasina pudi,500g,"Foodgrains, Oil & Masala"
15317,"everest|powder tikhalal chilli|50g",everest,powder tikhalal chilli,50g,"Foodgrains, Oil & Masala"
15318,"everest|tikhalal hot red chilli powder|100g",everest,tikhalal hot red chilli powder,100g,"Foodgrains, Oil & Masala"
15319,"everest|tikhalal red chilli powder|200g",everest,tikhalal red chilli powder,200g,"Foodgrains, Oil & Masala"
15320,"everest|powder tikhalal|200g",everest,powder tikhalal,200g,"Foodgrains, Oil & Masala"
15321,"everest|powder tikhalal chilly|1000g",everest,powder tikhalal chilly,1000g,"Foodgrains, Oil & Masala"
15322,"bb royal|organic chilli powder menasina pudi|500g",bb royal,organic chilli powder menasina pudi,500g,"Foodgrains, Oil & Masala"
15323,"bb royal|organic chilli powder menasina pudi|100g",bb royal,organic chilli powder menasina pudi,100g,"Foodgrains, Oil & Masala"
15324,"bb royal|organic chilli powder menasina pudi|200g",bb royal,organic chilli powder menasina pudi,200g,"Foodgrains, Oil & Masala"
15325,"aashirvaad|chilli powder|200g",aashirvaad,chilli powder,200g,"Foodgrains, Oil & Masala"
15326,"aashirvaad|red hot chilli powder|100g",aashirvaad,red hot chilli powder,100g,"Foodgrains, Oil & Masala"
15327,"aashirvaad|chilli powder|100g",aashirvaad,chilli powder,100g,"Foodgrains, Oil & Masala"
15328,"aashirvaad|chilli powder|500g",aashirvaad,chilli powder,500g,"Foodgrains, Oil & Masala"
15329,"aashirvaad|chilli powder|750g",aashirvaad,chilli powder,750g,"Foodgrains, Oil & Masala"
15330,"sakthi|powder chilli|100g",sakthi,powder chilli,100g,"Foodgrains, Oil & Masala"
15331,"sakthi|powder chilli|200g",sakthi,powder chilli,200g,"Foodgrains, Oil & Masala"
15332,"sakthi|chilli powder|500g",sakthi,chilli powder,500g,"Foodgrains, Oil & Masala"
15333,"catch|red chilli powder menasina pudi|500g",catch,red chilli powder menasina pudi,500g,"Foodgrains, Oil & Masala"
15334,"catch|red chilli powder menasina pudi|50g",catch,red chilli powder menasina pudi,50g,"Foodgrains, Oil & Masala"
15335,"catch|red chilli powder menasina pudi|100g",catch,red chilli powder menasina pudi,100g,"Foodgrains, Oil & Masala"
15336,"catch|red chilli powder|200g",catch,red chilli powder,200g,"Foodgrains, Oil & Masala"
15337,"catch|red chilli powder menasina pudi|1000g",catch,red chilli powder menasina pudi,1000g,"Foodgrains, Oil & Masala"
15338,"aashirvaad|guntur byadagi chilli powder|200g",aashirvaad,guntur byadagi chilli powder,200g,"Foodgrains, Oil & Masala"
15339,"mtr|kashmiri chilli powder|100g",mtr,kashmiri chilli powder,100g,"Foodgrains, Oil & Masala"
15340,"mtr|kashmiri chilli powder|250g",mtr,kashmiri chilli powder,250g,"Foodgrains, Oil & Masala"
15341,"everest|kutilal coarse ground chilli powder|100g",everest,kutilal coarse ground chilli powder,100g,"Foodgrains, Oil & Masala"
15342,"bb royal|chilli mirchi powder|500g",bb royal,chilli mirchi powder,500g,"Foodgrains, Oil & Masala"
15343,"bb royal|chilli mirchi powder|100g",bb royal,chilli mirchi powder,100g,"Foodgrains, Oil & Masala"
15344,"bb royal|chilli mirchi powder|200g",bb royal,chilli mirchi powder,200g,"Foodgrains, Oil & Masala"
15345,"bb royal|chilli powder freshly pounded|50g",bb royal,chilli powder freshly pounded,50g,"Foodgrains, Oil & Masala"
15346,"bb royal|chilli powder|20g",bb royal,chilli powder,20g,"Foodgrains, Oil & Masala"
15347,"24 mantra organic|chilli powder|200g",24 mantra organic,chilli powder,200g,"Foodgrains, Oil & Masala"
15348,"24 mantra organic|organic red chilli powder menasina pudi|100g",24 mantra organic,organic red chilli powder menasina pudi,100g,"Foodgrains, Oil & Masala"
15349,"organic tattva|organic red chilli powder|100g",organic tattva,organic red chilli powder,100g,"Foodgrains, Oil & Masala"
15350,"badshah|red chilli powder|500g",badshah,red chilli powder,500g,"Foodgrains, Oil & Masala"
15351,"badshah|red chilli powder|100g",badshah,red chilli powder,100g,"Foodgrains, Oil & Masala"
15352,"zoff|red chilli powder|500g",zoff,red chilli powder,500g,"Foodgrains, Oil & Masala"
15353,"zoff|red chilli powder|100g",zoff,red chilli powder,100g,"Foodgrains, Oil & Masala"
15354,"zoff|red chilli powder|200g",zoff,red chilli powder,200g,"Foodgrains, Oil & Masala"
15355,"bb super saver|chilli mirchi pwwder|500g",bb super saver,chilli mirchi pwwder,500g,"Foodgrains, Oil & Masala"
15356,"aashirvaad|byadagi chilli powder|100g",aashirvaad,byadagi chilli powder,100g,"Foodgrains, Oil & Masala"
15357,"aashirvaad|byadagi chilli powder|500g",aashirvaad,byadagi chilli powder,500g,"Foodgrains, Oil & Masala"
15358,"snn|chilli powder flavourful rich aroma fresh from farm|200g",snn,chilli powder flavourful rich aroma fresh from farm,200g,"Foodgrains, Oil & Masala"
15359,"snn|chilli powder flavourful rich aroma fresh from farm|50g",snn,chilli powder flavourful rich aroma fresh from farm,50g,"Foodgrains, Oil & Masala"
15360,"snn|chilli powder flavourful rich aroma fresh from farm|100g",snn,chilli powder flavourful rich aroma fresh from farm,100g,"Foodgrains, Oil & Masala"
15361,"snn|chilli powder flavourful rich aroma fresh from farm|500g",snn,chilli powder flavourful rich aroma fresh from farm,500g,"Foodgrains, Oil & Masala"
15362,"orika|hot red chilli powder menasina pudi|100g",orika,hot red chilli powder menasina pudi,100g,"Foodgrains, Oil & Masala"
15363,"orika|hot red chilli powder made from high heat value chillies|200g",orika,hot red chilli powder made from high heat value chillies,200g,"Foodgrains, Oil & Masala"
15364,"orika|hot red chilli powder made from high heat value chillies|500g",orika,hot red chilli powder made from high heat value chillies,500g,"Foodgrains, Oil & Masala"
15365,"catch|kuti mirch powder enhances flavour aroma|100g",catch,kuti mirch powder enhances flavour aroma,100g,"Foodgrains, Oil & Masala"
15366,"wonder|spicy chilly powder|500g",wonder,spicy chilly powder,500g,"Foodgrains, Oil & Masala"
15367,"lg|kashmiri chilly powder|100g",lg,kashmiri chilly powder,100g,"Foodgrains, Oil & Masala"
15368,"bharat bazaar|red chilli powder pure no added colours|100g",bharat bazaar,red chilli powder pure no added colours,100g,"Foodgrains, Oil & Masala"
15369,"the flavour trail by swani|sustainably grown chilli powder|200g",the flavour trail by swani,sustainably grown chilli powder,200g,"Foodgrains, Oil & Masala"
15370,"darling masala|kulambu chilli powder|200g",darling masala,kulambu chilli powder,200g,"Foodgrains, Oil & Masala"
