id,fingerprint,brand_name,product_name,quantity,category
2839,"fresho!|coriander leaves|500g",fresho!,coriander leaves,500g,Fruits & Vegetables
2840,"fresho!|coriander leaves|250g",fresho!,coriander leaves,250g,Fruits & Vegetables
2841,"bb royal|coriander dhania seeds|200g",bb royal,coriander dhania seeds,200g,"Foodgrains, Oil & Masala"
2842,"bb royal|coriander seeds kottambari beeja|100g",bb royal,coriander seeds kottambari beeja,100g,"Foodgrains, Oil & Masala"
2843,"bb royal|coriander dhania seeds|50g",bb royal,coriander dhania seeds,50g,"Foodgrains, Oil & Masala"
2844,"bb royal|coriander seeds kottambari beeja|200g",bb royal,coriander seeds kottambari beeja,200g,"Foodgrains, Oil & Masala"
2845,"bb royal|coriander seeds kottambari beeja|500g",bb royal,coriander seeds kottambari beeja,500g,"Foodgrains, Oil & Masala"
2846,"bb royal|coriander dhania seeds local|500g",bb royal,coriander dhania seeds local,500g,"Foodgrains, Oil & Masala"
2847,"tata sampann|coriander dhania powder natural oils|500g",tata sampann,coriander dhania powder natural oils,500g,"Foodgrains, Oil & Masala"
2848,"tata sampann|coriander dhania powder natural oils|100g",tata sampann,coriander dhania powder natural oils,100g,"Foodgrains, Oil & Masala"
2849,"tata sampann|coriander dhania powder natural oils|200g",tata sampann,coriander dhania powder natural oils,200g,"Foodgrains, Oil & Masala"
2850,"bb royal|organic coriander dhania seeds|500g",bb royal,organic coriander dhania seeds,500g,"Foodgrains, Oil & Masala"
2851,"everest|powder green coriander|500g",everest,powder green coriander,500g,"Foodgrains, Oil & Masala"
2852,"everest|coriander powder|100g",everest,coriander powder,100g,"Foodgrains, Oil & Masala"
2853,"everest|coriander powder|200g",everest,coriander powder,200g,"Foodgrains, Oil & Masala"
2854,"bb popular|coriander seeds kottambari beeja|500g",bb popular,coriander seeds kottambari beeja,500g,"Foodgrains, Oil & Masala"
2855,"bb popular|coriander seeds kottambari beeja|200g",bb popular,coriander seeds kottambari beeja,200g,"Foodgrains, Oil & Masala"
2856,"safe harvest|coriander seeds kottambari beeja|200g",safe harvest,coriander seeds kottambari beeja,200g,"Foodgrains, Oil & Masala"
2857,"bb popular|coriander seeds kottambari beeja|100g",bb popular,coriander seeds kottambari beeja,100g,"Foodgrains, Oil & Masala"
2858,"pro nature|organic coriander whole|200g",pro nature,organic coriander whole,200g,"Foodgrains, Oil & Masala"
2859,"pro nature|organic coriander whole|100g",pro nature,organic coriander whole,100g,"Foodgrains, Oil & Masala"
2860,"tata sampann|coriander dhaniya whole natural oils|200g",tata sampann,coriander dhaniya whole natural oils,200g,"Foodgrains, Oil & Masala"
2861,"tata sampann|coriander dhaniya whole natural oils|100g",tata sampann,coriander dhaniya whole natural oils,100g,"Foodgrains, Oil & Masala"
2862,"catch|coriander powder|500g",catch,coriander powder,500g,"Foodgrains, Oil & Masala"
2863,"catch|coriander powder|50g",catch,coriander powder,50g,"Foodgrains, Oil & Masala"
2864,"catch|coriander powder|100g",catch,coriander powder,100g,"Foodgrains, Oil & Masala"
2865,"catch|coriander powder|200g",catch,coriander powder,200g,"Foodgrains, Oil & Masala"
2866,"catch|kashmiri mirch powder|100g",catch,kashmiri mirch powder,100g,"Foodgrains, Oil & Masala"
2867,"fresho!|coriander|1bunch",fresho!,coriander,1bunch,Fruits & Vegetables
2868,"eastern|kashmiri chilli powder|500g",eastern,kashmiri chilli powder,500g,"Foodgrains, Oil & Masala"
2869,"eastern|kashmiri chilli powder|100g",eastern,kashmiri chilli powder,100g,"Foodgrains, Oil & Masala"
2870,"eastern|kashmiri chilli powder|250g",eastern,kashmiri chilli powder,250g,"Foodgrains, Oil & Masala"
2871,"eastern|coriander powder|500g",eastern,coriander powder,500g,"Foodgrains, Oil & Masala"
